ssid,bssid,signal_dbm,encryption,authentication,channel,is_risky,risk_reason
JioFiber_Shop,7c:f7:b9:65:10:3c,-44,WPA2,PSK,5,0,Safe
D-Link123,10:2e:92:6e:4d:86,-84,WEP,PSK,9,1,Weak Encryption (WEP)
TP-Link_Home,da:f0:2d:f5:ad:93,-40,WEP,PSK,8,1,Weak Encryption (WEP)
Free_Public_WiFi,46:23:d2:64:44:8a,-73,WEP,PSK,10,1,Weak Encryption (WEP)
Ganpati_Shop,96:c7:60:91:69:06,-55,WPA,PSK,10,0,Safe
Ganpati_Shop,66:06:ee:be:06:2c,-49,WPA,PSK,4,0,Safe
Ganpati_5G,10:69:de:ba:bd:b8,-50,WPA2,PSK,4,0,Safe
JioFiber_5G,04:0d:ad:0d:dc:24,-62,WPA2,PSK,3,0,Safe
Netpluz123,7e:1a:15:40:d1:37,-32,OPEN,NONE,1,1,Open Network
CyberCafe_Shop,42:69:10:20:e7:a3,-32,WPA2,PSK,4,0,Safe
Free_Public_WiFi,16:5c:d0:29:de:d2,-87,WPA,PSK,8,0,Safe
D-Link_Home,e6:89:67:66:bc:46,-53,WEP,PSK,5,1,Weak Encryption (WEP)
Airtel_Free,1c:4d:77:f1:85:5a,-89,WEP,PSK,10,1,Weak Encryption (WEP)
JioFiber_Shop,60:1c:c3:04:22:49,-56,WEP,PSK,3,1,Weak Encryption (WEP)
JioFiber_5G,ba:00:34:cf:fa:d6,-83,OPEN,NONE,9,1,Open Network
JioFiber_5G,2c:2b:9b:3a:27:d7,-50,WPA2,PSK,2,0,Safe
Om_Shop,aa:d8:36:0d:57:83,-68,WPA,PSK,6,0,Safe
CyberCafe_Guest,26:3f:aa:b5:80:1e,-81,OPEN,NONE,9,1,Open Network
Netpluz,42:f9:69:99:3f:0a,-47,OPEN,NONE,8,1,Open Network
Shiv_Shop,38:2c:1b:58:c3:c1,-65,WEP,PSK,4,1,Weak Encryption (WEP)
Ganpati_Free,72:f8:a3:2e:3c:b7,-71,WPA2,PSK,7,0,Safe
D-Link_5G,ce:ea:b0:a9:6e:a1,-57,WEP,PSK,9,1,Weak Encryption (WEP)
JioFiber_Shop,0c:0f:b8:07:db:49,-74,OPEN,NONE,6,1,Open Network
Shiv,34:85:97:a5:69:a9,-89,WEP,PSK,3,1,Weak Encryption (WEP)
Ganpati_Free,98:82:5e:16:f5:97,-72,WEP,PSK,8,1,Weak Encryption (WEP)
TP-Link_5G,82:85:37:bd:da:35,-51,WEP,PSK,11,1,Weak Encryption (WEP)
Netpluz123,d0:c6:07:26:66:5b,-56,WEP,PSK,1,1,Weak Encryption (WEP)
TP-Link_Home,0c:4f:cf:9e:04:b5,-74,WPA,PSK,10,0,Safe
D-Link123,ca:fe:2a:a7:33:90,-43,WEP,PSK,7,1,Weak Encryption (WEP)
CyberCafe123,be:d5:44:e8:88:5b,-79,OPEN,NONE,6,1,Open Network
Free_Public_WiFi,52:f4:64:e8:0c:f3,-35,WPA,PSK,1,0,Safe
Ganpati123,5e:8a:03:e7:1e:35,-45,OPEN,NONE,5,1,Open Network
Ganpati_Shop,28:f4:94:65:bf:1e,-87,WPA,PSK,6,0,Safe
CyberCafe_Home,2a:0a:64:75:2f:95,-59,WPA,PSK,7,0,Safe
Sai_Guest,6e:1b:07:37:fa:90,-35,WPA,PSK,10,0,Safe
Airtel123,10:de:7a:94:1c:15,-32,OPEN,NONE,1,1,Open Network
D-Link_Shop,b8:3e:52:9b:97:1b,-57,OPEN,NONE,7,1,Open Network
Airtel123,b8:d7:7d:02:ed:7f,-55,OPEN,NONE,9,1,Open Network
Airtel_Guest,50:f3:59:68:d2:d3,-50,WPA2,PSK,4,0,Safe
Free_Public_WiFi,80:15:6d:54:d3:c0,-71,OPEN,NONE,5,1,Open Network
D-Link_Free,c6:9f:85:f4:b7:41,-38,WPA2,PSK,11,0,Safe
CyberCafe_Home,5c:18:68:95:d6:b5,-62,WPA,PSK,4,0,Safe
Om_Home,7e:fe:8d:b9:bb:0c,-53,WEP,PSK,8,1,Weak Encryption (WEP)
Om123,82:00:7c:56:af:38,-78,WPA,PSK,7,0,Safe
Ganpati_5G,e2:ac:c0:9b:bf:cf,-54,WPA2,PSK,2,0,Safe
CyberCafe123,d2:cb:b3:13:ee:bb,-70,WEP,PSK,5,1,Weak Encryption (WEP)
Airtel_5G,c4:e8:04:90:57:e5,-80,WPA2,PSK,6,0,Safe
Ganpati123,1a:f9:4a:c5:55:55,-89,OPEN,NONE,11,1,Open Network
Airtel_Free,c2:3d:3a:b7:fd:57,-30,WPA,PSK,3,0,Safe
CyberCafe_Guest,46:95:67:45:3e:41,-59,WPA2,PSK,8,0,Safe
Airtel_Shop,f4:81:ff:f7:f4:4a,-58,WEP,PSK,6,1,Weak Encryption (WEP)
JioFiber_Guest,00:b9:0a:9f:3b:16,-53,OPEN,NONE,3,1,Open Network
Ganpati_Home,28:fd:bc:55:5b:72,-90,WEP,PSK,7,1,Weak Encryption (WEP)
Ganpati_5G,c4:71:5d:c9:5d:a2,-87,WPA2,PSK,8,0,Safe
Sai_Guest,6e:5f:72:50:20:6a,-65,OPEN,NONE,10,1,Open Network
Netpluz_Guest,de:b3:22:fa:7b:38,-63,WEP,PSK,8,1,Weak Encryption (WEP)
TP-Link_Shop,e2:53:b9:a9:8c:19,-81,OPEN,NONE,6,1,Open Network
Sai_Shop,e0:95:da:a0:61:a7,-42,WEP,PSK,3,1,Weak Encryption (WEP)
Sai_Home,78:82:27:03:31:f7,-44,OPEN,NONE,2,1,Open Network
CyberCafe123,20:cf:cd:7f:36:a8,-51,WEP,PSK,11,1,Weak Encryption (WEP)
JioFiber,9e:c7:58:5f:34:bf,-78,OPEN,NONE,4,1,Open Network
TP-Link_5G,aa:29:a3:5e:95:0f,-82,OPEN,NONE,4,1,Open Network
Om_5G,94:22:4a:e1:b9:4f,-62,OPEN,NONE,2,1,Open Network
Ganpati_Shop,c0:58:02:2b:0e:e2,-34,WPA,PSK,4,0,Safe
Sai123,8a:a4:09:e4:1f:63,-48,OPEN,NONE,5,1,Open Network
CyberCafe_Free,6e:f8:0b:70:49:4b,-49,WPA2,PSK,5,0,Safe
Shiv_5G,f8:24:77:21:c2:75,-63,WPA2,PSK,5,0,Safe
Netpluz,b0:bd:80:dd:cf:52,-73,WPA2,PSK,10,0,Safe
Sai,fa:1c:32:ab:21:dc,-30,OPEN,NONE,8,1,Open Network
Ganpati_Guest,24:d9:ea:4b:1e:2c,-74,OPEN,NONE,4,1,Open Network
Ganpati_Free,0e:b1:fa:27:70:13,-33,WPA2,PSK,10,0,Safe
CyberCafe_Guest,8e:6a:3d:e2:d8:96,-66,OPEN,NONE,7,1,Open Network
CyberCafe_Shop,b0:98:b5:2a:fe:1f,-37,WEP,PSK,8,1,Weak Encryption (WEP)
Shiv_Guest,50:18:fb:bb:96:f9,-41,WPA2,PSK,10,0,Safe
D-Link_Guest,bc:51:26:f9:86:21,-90,WPA,PSK,2,0,Safe
Netpluz,ec:1b:88:08:cc:fd,-75,WPA,PSK,11,0,Safe
Ganpati_Free,08:c7:da:d8:0d:32,-89,WEP,PSK,10,1,Weak Encryption (WEP)
Ganpati_Free,4e:e1:94:84:22:0a,-49,WPA,PSK,11,0,Safe
CyberCafe_Free,56:74:d1:18:c3:48,-69,WPA2,PSK,6,0,Safe
Ganpati123,4e:49:c0:20:79:ad,-69,WPA2,PSK,11,0,Safe
Free_Public_WiFi,12:aa:29:20:e4:bf,-46,WPA,PSK,1,0,Safe
Om_Free,d6:36:ee:6a:c9:66,-76,OPEN,NONE,10,1,Open Network
Om_Free,1c:43:a8:77:85:10,-58,WPA,PSK,8,0,Safe
Sai_5G,f6:55:53:80:c3:74,-30,WPA,PSK,9,0,Safe
Free_Public_WiFi,40:c8:5a:90:3a:29,-89,WPA2,PSK,3,0,Safe
Shiv,74:a9:85:e3:e1:30,-61,OPEN,NONE,11,1,Open Network
Ganpati_Free,bc:43:9b:d0:fb:64,-62,WEP,PSK,6,1,Weak Encryption (WEP)
Shiv_5G,d6:ac:05:13:10:3d,-89,WEP,PSK,8,1,Weak Encryption (WEP)
Om_Shop,36:74:7c:d9:a4:e6,-51,WPA,PSK,4,0,Safe
Sai_Home,b2:37:76:a1:d1:cc,-31,WEP,PSK,4,1,Weak Encryption (WEP)
Netpluz_Guest,ae:e4:88:d3:b6:ac,-53,WPA,PSK,2,0,Safe
D-Link_Shop,ac:4a:2a:07:a2:e3,-64,WPA2,PSK,1,0,Safe
Shiv_5G,78:23:66:2c:6a:6f,-39,WPA2,PSK,4,0,Safe
CyberCafe,66:95:aa:78:63:c9,-78,WPA2,PSK,3,0,Safe
Netpluz_Free,94:65:a4:b9:a6:39,-38,WPA2,PSK,8,0,Safe
D-Link_Shop,a4:d5:d9:96:35:52,-68,OPEN,NONE,2,1,Open Network
JioFiber_5G,50:7c:86:a2:0c:d5,-87,WEP,PSK,11,1,Weak Encryption (WEP)
CyberCafe,74:01:58:c5:60:87,-83,WPA,PSK,5,0,Safe
Free_Public_WiFi,48:cb:6c:6d:3b:58,-63,WPA2,PSK,6,0,Safe
Ganpati_Home,b2:c7:74:99:38:ac,-57,OPEN,NONE,9,1,Open Network
Airtel,06:f4:db:4a:b8:dc,-34,WPA2,PSK,8,0,Safe
D-Link_5G,38:cf:04:f0:dd:9f,-46,OPEN,NONE,5,1,Open Network
Free_Public_WiFi,cc:ec:80:07:7f:b0,-64,WPA2,PSK,4,0,Safe
Airtel_Free,68:5a:b9:8e:28:51,-35,OPEN,NONE,9,1,Open Network
D-Link_Guest,a0:56:db:10:19:78,-66,OPEN,NONE,4,1,Open Network
D-Link,e4:01:39:9f:ec:8f,-53,WPA,PSK,4,0,Safe
Free_Public_WiFi,f4:c7:35:2a:1c:a3,-42,WPA,PSK,11,0,Safe
Om_Free,82:ef:51:ad:c6:49,-83,WPA2,PSK,7,0,Safe
JioFiber_Shop,62:4b:bf:21:be:7d,-31,WPA2,PSK,8,0,Safe
Free_Public_WiFi,b6:ad:4a:05:be:bc,-67,OPEN,NONE,1,1,Open Network
D-Link_Free,5a:30:1c:53:cc:b6,-36,OPEN,NONE,10,1,Open Network
Shiv_Shop,4e:18:f9:7f:01:17,-79,WPA2,PSK,10,0,Safe
JioFiber_Free,0e:cb:b6:d3:85:1c,-49,WPA,PSK,5,0,Safe
D-Link_5G,48:ff:87:22:17:89,-82,WPA2,PSK,8,0,Safe
Netpluz123,9c:9f:4c:ba:6d:24,-82,OPEN,NONE,6,1,Open Network
Sai123,dc:f5:14:02:92:02,-47,WPA2,PSK,4,0,Safe
Sai123,c0:3f:c9:0a:11:cb,-73,WPA,PSK,11,0,Safe
CyberCafe_5G,4a:5f:57:6e:86:9d,-80,WPA,PSK,11,0,Safe
Free_Public_WiFi,62:d7:30:f2:06:69,-34,WEP,PSK,4,1,Weak Encryption (WEP)
JioFiber123,d4:35:ac:a8:d7:1a,-63,OPEN,NONE,4,1,Open Network
JioFiber_Home,7a:49:6d:44:6a:7b,-88,WPA2,PSK,5,0,Safe
Sai,18:3c:3d:7b:74:bf,-45,WEP,PSK,11,1,Weak Encryption (WEP)
Sai_5G,e6:54:93:f0:3f:d5,-83,WPA,PSK,8,0,Safe
CyberCafe_Free,f4:6e:b8:92:79:c4,-68,WEP,PSK,9,1,Weak Encryption (WEP)
D-Link_Home,e0:2a:81:c4:81:39,-50,WPA2,PSK,3,0,Safe
Sai_Guest,c2:31:dc:39:8e:5d,-61,WPA,PSK,10,0,Safe
CyberCafe_Home,3e:24:1b:60:2f:a2,-37,OPEN,NONE,4,1,Open Network
Shiv123,12:8b:56:17:cc:52,-65,WPA,PSK,6,0,Safe
CyberCafe_Shop,bc:72:e8:f0:1a:7a,-78,WPA2,PSK,4,0,Safe
Netpluz_Free,2a:e1:20:24:c4:a9,-81,WPA,PSK,5,0,Safe
TP-Link_Home,b0:57:92:51:4f:6c,-52,WPA2,PSK,3,0,Safe
Om_Free,b2:e3:0b:04:f1:04,-48,OPEN,NONE,2,1,Open Network
Shiv_Guest,ee:88:7b:f9:f1:b0,-45,WPA,PSK,4,0,Safe
Shiv_Shop,ba:ae:8b:ef:d9:1d,-81,WEP,PSK,6,1,Weak Encryption (WEP)
TP-Link_Home,76:3d:d6:24:3c:cf,-40,OPEN,NONE,6,1,Open Network
CyberCafe_Shop,c2:e9:ae:d1:95:6e,-45,WEP,PSK,8,1,Weak Encryption (WEP)
TP-Link_Guest,c2:54:89:10:e1:dd,-87,WPA,PSK,11,0,Safe
JioFiber_Home,46:f3:fb:23:87:90,-51,WPA,PSK,9,0,Safe
Sai_Guest,08:b6:07:7c:22:14,-37,WEP,PSK,3,1,Weak Encryption (WEP)
JioFiber_Home,86:66:dd:41:68:f1,-69,WEP,PSK,6,1,Weak Encryption (WEP)
JioFiber_Shop,96:9d:71:b5:72:fb,-51,WPA2,PSK,2,0,Safe
Airtel123,e0:2c:81:8c:dd:0a,-42,WPA2,PSK,10,0,Safe
Free_Public_WiFi,88:d7:62:fe:05:82,-33,WPA2,PSK,4,0,Safe
CyberCafe,7e:99:30:31:62:e9,-69,WEP,PSK,9,1,Weak Encryption (WEP)
Airtel_Shop,02:c0:4d:40:d8:c3,-76,OPEN,NONE,6,1,Open Network
Sai123,74:d2:3f:8d:89:84,-52,WPA,PSK,7,0,Safe
TP-Link_Shop,12:db:5a:e4:a8:d8,-54,WPA2,PSK,2,0,Safe
TP-Link_Guest,3e:67:56:83:58:dc,-61,WPA2,PSK,8,0,Safe
Om_Free,12:fc:a2:a8:24:10,-43,OPEN,NONE,7,1,Open Network
Free_Public_WiFi,70:05:ae:71:5c:89,-31,WPA2,PSK,8,0,Safe
CyberCafe,8c:f6:82:d5:5d:74,-61,WPA,PSK,3,0,Safe
Sai123,5a:ec:47:3a:1b:7f,-63,OPEN,NONE,4,1,Open Network
Ganpati_Home,ae:2b:d1:0f:39:23,-39,WPA2,PSK,10,0,Safe
Airtel,a0:8b:4f:3d:28:6d,-55,OPEN,NONE,3,1,Open Network
Om_Shop,32:27:0c:28:af:59,-79,WPA2,PSK,2,0,Safe
Free_Public_WiFi,a8:8b:23:37:1b:af,-79,OPEN,NONE,8,1,Open Network
Netpluz,ba:e5:42:0b:c1:5c,-66,WPA,PSK,1,0,Safe
CyberCafe123,c2:f7:8b:a0:e0:50,-87,OPEN,NONE,2,1,Open Network
JioFiber,e6:9c:22:61:70:4c,-77,WPA,PSK,5,0,Safe
Airtel_Home,24:bb:5d:2f:74:03,-40,OPEN,NONE,9,1,Open Network
Netpluz123,c4:32:d5:81:f8:2c,-58,WPA,PSK,5,0,Safe
JioFiber_Guest,ee:eb:f2:71:55:7b,-66,WEP,PSK,11,1,Weak Encryption (WEP)
Netpluz_Free,2a:3b:56:98:8d:a5,-62,WPA2,PSK,8,0,Safe
Om_Guest,d8:9a:aa:cb:bf:aa,-81,WPA2,PSK,6,0,Safe
Om_Free,2c:2b:21:a4:aa:cb,-68,WEP,PSK,8,1,Weak Encryption (WEP)
Sai_Free,76:ac:8e:e6:6c:54,-56,WPA2,PSK,5,0,Safe
Sai_Free,c2:42:bb:03:bc:37,-86,WPA2,PSK,11,0,Safe
Airtel_Guest,72:ed:9a:f0:8c:d3,-85,WPA,PSK,6,0,Safe
TP-Link_Shop,a2:e6:03:17:67:d3,-59,WPA,PSK,7,0,Safe
D-Link_Shop,80:a5:29:97:2f:60,-60,WPA,PSK,8,0,Safe
JioFiber_Free,96:a2:22:4d:37:57,-70,WPA,PSK,7,0,Safe
D-Link,68:9e:13:e8:b5:e1,-79,OPEN,NONE,2,1,Open Network
Shiv,6a:42:ce:b9:8d:2e,-40,OPEN,NONE,10,1,Open Network
Ganpati,de:2d:18:b5:f0:e8,-34,WPA2,PSK,9,0,Safe
Sai_Free,be:08:d8:6c:8e:43,-68,OPEN,NONE,2,1,Open Network
TP-Link_5G,bc:fe:8a:ac:4a:81,-79,WPA,PSK,7,0,Safe
Free_Public_WiFi,94:65:62:32:62:e1,-61,WPA2,PSK,5,0,Safe
Ganpati_Shop,f8:78:b3:d4:d8:30,-34,WEP,PSK,8,1,Weak Encryption (WEP)
TP-Link,50:c8:1d:ef:5f:f8,-84,OPEN,NONE,3,1,Open Network
D-Link_Guest,56:06:57:ff:a7:65,-58,WEP,PSK,3,1,Weak Encryption (WEP)
Shiv_5G,b2:2e:5d:63:40:8a,-60,WEP,PSK,7,1,Weak Encryption (WEP)
Ganpati_Shop,c4:f4:e0:f2:b7:b4,-66,WPA,PSK,3,0,Safe
Shiv_Shop,da:90:3a:e8:02:32,-39,WEP,PSK,9,1,Weak Encryption (WEP)
Ganpati_Home,50:35:b4:3a:e8:90,-54,WEP,PSK,9,1,Weak Encryption (WEP)
Airtel123,64:14:e8:8f:cc:05,-38,WPA2,PSK,8,0,Safe
Shiv_Free,a6:9f:05:87:d8:f1,-48,WPA,PSK,9,0,Safe
TP-Link_Guest,08:35:e4:40:9e:16,-80,OPEN,NONE,8,1,Open Network
CyberCafe_Home,6e:47:01:c9:98:2d,-85,OPEN,NONE,8,1,Open Network
Airtel,1e:dc:06:2e:18:3d,-83,OPEN,NONE,9,1,Open Network
Shiv_Shop,f8:3b:b7:a6:1b:f7,-43,OPEN,NONE,9,1,Open Network
TP-Link_Home,c2:78:44:f1:73:1d,-68,WPA2,PSK,9,0,Safe
D-Link123,32:2d:19:95:f2:22,-58,WEP,PSK,2,1,Weak Encryption (WEP)
Netpluz_Home,6e:66:90:7f:88:94,-57,WPA,PSK,7,0,Safe
Free_Public_WiFi,94:1f:e2:bd:4f:90,-47,WPA,PSK,8,0,Safe
Shiv_Shop,8c:5c:49:6d:ea:ad,-65,WPA2,PSK,4,0,Safe
JioFiber_Guest,1e:19:59:10:3f:37,-38,OPEN,NONE,1,1,Open Network
JioFiber_Home,62:2a:bc:ae:8d:16,-56,WPA2,PSK,4,0,Safe
TP-Link_Free,7e:07:a5:cf:94:f0,-69,WPA2,PSK,6,0,Safe
